customer_id,country,total_orders,total_items,total_revenue,average_order_value,first_purchase_date,last_purchase_date,recency,frequency,churn_status
12346,United Kingdom,1,74215,77183.60,77183.60,2011-01-18,2011-01-18,325,1,Churned
12347,Iceland,7,2458,4310.00,615.71,2010-12-07,2011-12-07,2,7,Active
12348,Finland,4,2341,1797.24,449.31,2010-12-16,2011-09-25,75,4,At Risk
12349,Italy,1,631,1757.55,1757.55,2011-11-21,2011-11-21,18,1,Active
12350,Norway,1,197,334.40,334.40,2011-02-02,2011-02-02,310,1,Churned
12352,Norway,8,536,2506.04,313.26,2011-02-16,2011-11-03,36,8,Active
12353,Bahrain,1,20,89.00,89.00,2011-05-19,2011-05-19,204,1,Churned
12354,Spain,1,530,1079.40,1079.40,2011-04-21,2011-04-21,232,1,Churned
12355,Bahrain,1,240,459.40,459.40,2011-05-09,2011-05-09,214,1,Churned
12356,Portugal,3,1591,2811.43,937.14,2011-01-18,2011-11-17,22,3,Active
12357,Switzerland,1,2708,6207.67,6207.67,2011-11-06,2011-11-06,33,1,Active
12358,Austria,2,248,1168.06,584.03,2011-07-12,2011-12-08,1,2,Active
12359,Cyprus,4,1609,6310.03,1577.51,2011-01-12,2011-10-13,57,4,Active
12360,Austria,3,1165,2662.06,887.35,2011-05-23,2011-10-18,52,3,Active
12361,Belgium,1,91,189.90,189.90,2011-02-25,2011-02-25,287,1,Churned
12362,Belgium,10,2229,5226.23,522.62,2011-02-17,2011-12-06,3,10,Active
12363,Unspecified,2,408,552.00,276.00,2011-04-11,2011-08-22,109,2,At Risk
12364,Belgium,4,1506,1313.10,328.28,2011-08-19,2011-12-02,7,4,Active
12365,Cyprus,2,174,641.38,320.69,2011-02-21,2011-02-21,291,2,Churned
12367,Denmark,1,173,168.90,168.90,2011-12-05,2011-12-05,4,1,Active
12370,Cyprus,4,2352,3541.94,885.49,2010-12-14,2011-10-19,51,4,Active
12371,Switzerland,2,591,1887.96,943.98,2011-10-11,2011-10-26,44,2,Active
12372,Denmark,3,794,1298.04,432.68,2011-02-16,2011-09-29,71,3,At Risk
12373,Austria,1,197,364.60,364.60,2011-02-01,2011-02-01,311,1,Churned
12374,Austria,1,342,742.93,742.93,2011-11-14,2011-11-14,25,1,Active
12375,Finland,2,178,457.50,228.75,2011-09-02,2011-11-29,10,2,Active
12377,Switzerland,2,944,1628.12,814.06,2010-12-20,2011-01-28,315,2,Churned
12378,Switzerland,1,2529,4008.62,4008.62,2011-08-02,2011-08-02,129,1,Churned
12379,Belgium,2,407,852.24,426.12,2011-06-22,2011-09-19,81,2,At Risk
12380,Belgium,4,1127,2724.81,681.20,2011-06-07,2011-11-18,21,4,Active
12381,Norway,5,808,1845.31,369.06,2011-08-12,2011-12-05,4,5,Active
12383,Belgium,5,1532,1850.56,370.11,2010-12-22,2011-06-08,184,5,Churned
12384,Switzerland,2,126,585.27,292.64,2011-08-10,2011-11-11,28,2,Active
12386,Australia,2,354,401.90,200.95,2010-12-08,2011-01-06,337,2,Churned
12388,Australia,6,1462,2780.66,463.44,2011-01-17,2011-11-24,15,6,Active
12390,Belgium,1,353,549.84,549.84,2011-09-21,2011-09-21,79,1,At Risk
12391,Cyprus,1,293,439.66,439.66,2011-11-18,2011-11-18,21,1,Active
12393,Australia,4,816,1582.60,395.65,2011-01-11,2011-09-28,72,4,At Risk
12394,Denmark,2,819,1272.48,636.24,2011-05-06,2011-10-07,63,2,At Risk
12395,Belgium,12,2118,3018.63,251.55,2010-12-03,2011-11-20,19,12,Active
12397,Belgium,2,1263,2409.90,1204.95,2011-07-27,2011-11-04,35,2,Active
12398,Switzerland,1,1394,1635.66,1635.66,2011-10-25,2011-10-25,45,1,Active
12399,Belgium,4,1178,1108.65,277.16,2011-03-23,2011-08-12,119,4,At Risk
12401,Belgium,1,11,84.30,84.30,2011-02-09,2011-02-09,303,1,Churned
12402,Belgium,1,94,225.60,225.60,2011-01-20,2011-01-20,323,1,Churned
12403,Denmark,1,96,427.70,427.70,2011-10-21,2011-10-21,49,1,Active
12405,Finland,1,857,1710.39,1710.39,2011-07-14,2011-07-14,148,1,Churned
12406,Denmark,2,1818,3415.30,1707.65,2011-06-09,2011-11-17,22,2,Active
12407,Belgium,5,1416,1708.12,341.62,2011-03-20,2011-10-21,49,5,Active
12408,Belgium,5,1409,2888.55,577.71,2011-03-24,2011-11-07,32,5,Active
12409,Switzerland,3,5551,11072.67,3690.89,2011-06-10,2011-09-22,78,3,At Risk
12410,Switzerland,2,211,693.33,346.67,2011-02-04,2011-02-04,308,2,Churned
12412,Denmark,3,829,1226.88,408.96,2011-06-23,2011-09-26,74,3,At Risk
12413,France,3,286,758.10,252.70,2011-01-06,2011-10-04,66,3,At Risk
12414,Austria,3,300,562.41,187.47,2011-02-02,2011-05-06,217,3,Churned
12415,Australia,21,77374,124914.53,5948.31,2011-01-06,2011-11-15,24,21,Active
12417,Spain,9,1552,3649.10,405.46,2010-12-17,2011-12-06,3,9,Active
12418,Switzerland,1,407,668.58,668.58,2011-08-19,2011-08-19,112,1,At Risk
12420,Cyprus,1,345,600.39,600.39,2011-10-07,2011-10-07,63,1,At Risk
12421,Spain,4,484,807.04,201.76,2011-01-24,2011-11-24,15,4,Active
12422,Switzerland,3,370,803.56,267.85,2011-01-19,2011-09-05,95,3,At Risk
12423,Belgium,8,1339,1859.31,232.41,2010-12-21,2011-12-09,0,8,Active
12424,Australia,2,740,1760.96,880.48,2011-06-30,2011-06-30,162,2,Churned
12425,Portugal,1,496,777.20,777.20,2011-09-22,2011-09-22,78,1,At Risk
12426,Germany,1,258,582.73,582.73,2011-05-29,2011-05-29,194,1,Churned
12427,Germany,3,533,825.80,275.27,2010-12-03,2011-11-18,21,3,Active
12428,Finland,9,3536,7956.46,884.05,2011-03-01,2011-11-14,25,9,Active
12429,Denmark,4,1557,3750.40,937.60,2010-12-09,2011-11-30,9,4,Active
12430,Norway,1,117,256.40,256.40,2011-10-27,2011-10-27,43,1,Active
12431,Belgium,15,2896,6419.95,428.00,2010-12-01,2011-11-04,35,15,Active
12432,Norway,5,1801,5059.32,1011.86,2011-06-20,2011-10-28,42,5,Active
12433,Norway,7,11071,13375.87,1910.84,2010-12-01,2011-12-09,0,7,Active
12434,Australia,2,394,806.14,403.07,2011-03-24,2011-09-16,84,2,At Risk
12435,Denmark,2,2055,7829.89,3914.95,2011-03-17,2011-09-21,79,2,At Risk
12436,Norway,1,211,509.01,509.01,2011-09-01,2011-09-01,99,1,At Risk
12437,France,18,2922,4951.41,275.08,2011-01-12,2011-12-08,1,18,Active
12438,Norway,2,1180,2906.85,1453.43,2011-07-22,2011-11-25,14,2,Active
12441,France,1,121,173.55,173.55,2010-12-08,2010-12-08,366,1,Churned
12442,Spain,1,182,172.06,172.06,2011-12-06,2011-12-06,3,1,Active
12444,Norway,5,1153,5005.46,1001.09,2011-06-21,2011-11-18,21,5,Active
12445,Spain,1,62,133.40,133.40,2011-11-17,2011-11-17,22,1,Active
12446,RSA,1,351,1002.31,1002.31,2011-10-13,2011-10-13,57,1,Active
12447,Belgium,1,190,476.49,476.49,2011-04-10,2011-04-10,243,1,Churned
12448,Spain,1,243,449.45,449.45,2011-10-26,2011-10-26,44,1,Active
12449,Belgium,4,1553,4067.29,1016.82,2011-06-05,2011-11-17,22,4,Active
12450,Spain,2,128,197.88,98.94,2011-06-19,2011-07-06,156,2,Churned
12451,Switzerland,5,6575,9035.52,1807.10,2011-01-19,2011-11-29,10,5,Active
12452,Switzerland,2,185,430.57,215.29,2011-11-23,2011-11-23,16,2,Active
12453,Austria,1,473,707.09,707.09,2011-07-28,2011-07-28,134,1,Churned
12454,Spain,1,1006,3528.34,3528.34,2011-10-14,2011-10-14,56,1,Active
12455,Spain,6,2089,2466.86,411.14,2011-02-16,2011-09-27,73,6,At Risk
12456,Switzerland,3,1633,3181.04,1060.35,2011-03-30,2011-10-26,44,3,Active
12457,Switzerland,7,843,2363.23,337.60,2011-04-14,2011-10-04,66,7,At Risk
12458,Switzerland,2,506,947.40,473.70,2011-02-28,2011-09-29,71,2,At Risk
12461,Switzerland,2,287,826.88,413.44,2011-07-08,2011-09-06,94,2,At Risk
12462,Spain,2,536,1189.59,594.80,2011-02-09,2011-11-21,18,2,Active
12463,Belgium,4,776,1344.78,336.20,2011-04-12,2011-10-17,53,4,Active
12464,Belgium,8,112,1212.05,151.51,2011-02-03,2011-11-29,10,8,Active
12465,Belgium,2,479,742.19,371.10,2011-06-23,2011-11-22,17,2,Active
12468,Germany,2,366,729.54,364.77,2011-01-27,2011-06-05,187,2,Churned
12471,Germany,30,8200,19788.65,659.62,2010-12-10,2011-12-07,2,30,Active
12472,Germany,7,4148,6572.11,938.87,2010-12-05,2011-11-07,32,7,Active
12473,Germany,5,2414,3928.05,785.61,2011-06-01,2011-11-10,29,5,Active
12474,Germany,18,4833,7324.09,406.89,2011-01-14,2011-11-22,17,18,Active
12475,Germany,1,535,723.38,723.38,2011-10-17,2011-10-17,53,1,Active
12476,Germany,11,2408,6816.42,619.67,2010-12-13,2011-11-24,15,11,Active
12477,Germany,6,3653,13219.74,2203.29,2011-02-11,2011-11-17,22,6,Active
12478,Greece,1,236,680.99,680.99,2011-12-06,2011-12-06,3,1,Active
12479,Germany,1,385,527.20,527.20,2011-11-28,2011-11-28,11,1,Active
12480,Germany,4,1707,3281.63,820.41,2011-01-07,2011-11-11,28,4,Active
12481,Germany,10,3294,5579.82,557.98,2010-12-09,2011-11-17,22,10,Active
12483,Sweden,8,1110,2484.98,310.62,2011-01-04,2011-11-22,17,8,Active
12484,Spain,6,2187,4527.32,754.55,2011-01-07,2011-11-07,32,6,Active
