customerid,historical_recency,historical_orders,historical_items,historical_revenue,historical_aov,historical_lifetime_days,churn_probability,risk_level,retention_opportunity_score,retention_priority,future_churn
12346,254,1,74215,77183.6,77183.6,0,0.9991641256777606,Critical Risk,77119.08421066201,High Value - High Risk,1
12347,58,5,1590,2790.86,558.172,237,0.3444010248261351,Moderate Risk,961.1750441462675,Monitor,0
12348,4,4,2341,1797.24,449.31,282,0.346418757853936,Moderate Risk,622.597648365408,Monitor,1
12350,239,1,197,334.40000000000003,334.40000000000003,0,0.776047491747376,Critical Risk,259.51028124032257,Standard Retention,1
12352,1,7,409,2194.31,313.47285714285715,224,0.21766733435857222,Low Risk,477.6296084563586,Monitor,0
12353,133,1,20,89.0,89.0,0,0.701005923892958,Critical Risk,62.38952722647326,Standard Retention,1
12354,161,1,530,1079.4,1079.4,0,0.7356390227584274,Critical Risk,794.0487611654466,Standard Retention,1
12355,143,1,240,459.40000000000003,459.40000000000003,0,0.7139449788947619,Critical Risk,327.98632330425363,Standard Retention,1
12356,174,2,1586,2753.08,1376.54,80,0.6719056343424191,Critical Risk,1849.8099637954272,Standard Retention,0
12358,79,1,100,484.86,484.86,0,0.6662034904152652,Critical Risk,323.0154243627455,Standard Retention,1
12359,118,3,965,3495.73,1165.2433333333333,141,0.5413918413822837,High Risk,1892.5597016752906,Standard Retention,0
12360,41,2,674,1618.28,809.14,88,0.5545929402437566,High Risk,897.4866633376664,Standard Retention,0
12361,216,1,91,189.9,189.9,0,0.7597315585985289,Critical Risk,144.27302297786065,Standard Retention,1
12362,1,5,1255,2577.34,515.4680000000001,223,0.30491049889717364,Moderate Risk,785.8580252276415,Monitor,0
12363,38,2,408,552.0,276.0,132,0.5343676174035827,High Risk,294.97092480677765,Standard Retention,1
12364,7,2,736,703.72,351.86,34,0.5380709486755526,High Risk,378.65128800195987,Standard Retention,0
12365,220,2,174,641.38,320.69,0,0.7190215836002274,Critical Risk,461.16606328951383,Standard Retention,1
12370,203,3,1972,2802.66,934.2199999999999,85,0.6317692984188606,Critical Risk,1770.634541906604,Standard Retention,0
12372,0,3,794,1298.04,432.68,224,0.41517702092942,High Risk,538.9163802472243,Standard Retention,1
12373,240,1,197,364.6,364.6,0,0.7770330229508294,Critical Risk,283.30624016787243,Standard Retention,1
12375,27,1,87,230.3,230.3,0,0.6201206100562354,Critical Risk,142.81377649595103,Standard Retention,1
12377,244,2,944,1628.1200000000001,814.0600000000001,39,0.7298330023114824,Critical Risk,1188.2557077233707,Standard Retention,1
12378,58,1,2529,4008.62,4008.62,0,0.7066501250931966,Critical Risk,2832.69182445109,Standard Retention,1
12379,10,2,407,852.24,426.12,88,0.5244368906661745,High Risk,446.94609570134054,Standard Retention,1
12380,7,2,583,1233.56,616.78,107,0.5175802991471465,High Risk,638.4663538159541,Standard Retention,0
12381,48,1,568,1268.74,1268.74,0,0.6547838268352802,Critical Risk,830.7504324589935,Standard Retention,0
12383,113,5,1532,1850.56,370.11199999999997,167,0.41412953736164226,High Risk,766.3715566599607,Standard Retention,1
12384,50,1,62,292.69,292.69,0,0.6399734470312736,Critical Risk,187.31382821158346,Standard Retention,0
12386,266,2,354,401.9,200.95,29,0.7432090757415982,Critical Risk,298.6957275405483,Standard Retention,1
12388,4,5,1238,2494.26,498.85200000000003,251,0.3002020271641454,Moderate Risk,748.7819082744413,Monitor,0
12390,8,1,353,549.84,549.84,0,0.6099795701811795,Critical Risk,335.39116686841976,Standard Retention,1
12393,1,4,816,1582.6000000000001,395.65000000000003,260,0.3495011157082779,Moderate Risk,553.1204657199206,Monitor,1
